videoId,title,start,end,rating,article
fk_Mbs3SjAo,変わらないもの,1989,2027,6,【歌枠】夏の夜長に歌でも聞いていきませんか！ ? Sing a Song?【水城あくあ】
s3KtXqDRbqk,部屋とワイシャツと私,3035,3359,6,【歌枠】７月のリベンジ！とリクエスト曲歌います ? Sing a Song?【VTuber】
bRHhQ9WOfBM,君が好き,3200,3479,6,【歌枠】肋骨にヒビが入っているので静かな曲を歌います? Sing a Song?【VTuber】
6_m2S-EDjuI,はりぼてプラネット（LIVE）,3481,3720,6,【歌枠】４年に１度のうるう年！歌うぞー！ ? Sing a Song?【初見さん歓迎】
7psBymj40qA,負けないで、負けないで…,6478,6761,6,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
by0lhBB6Zpc,だって君には彼氏がいるでしょ,2893,3095,6,【歌枠】3Dライブ予行練習！ ? Sing a Song?【初見さん歓迎】
l1Ci-a6Y_a8,愛言葉,1191,1500,6,【歌枠】エビバディショウタイム！ ? Sing a Song?【VTuber】
agUjhmFJ57M,Snow Fairly Story,2242,2511,6,【歌枠】アニソンからボカロまで！心がぴょんぴょん ? Sing a Song?【VTuber】
l1Ci-a6Y_a8,心拍数＃0822,2558,2876,6,【歌枠】エビバディショウタイム！ ? Sing a Song?【VTuber】
bRHhQ9WOfBM,歌に形はないけれど,3546,3874,6,【歌枠】肋骨にヒビが入っているので静かな曲を歌います? Sing a Song?【VTuber】
R5XvoW8Bw50,always,2793,3108,6,【歌枠】疲れた時に聞きたくなる大好きな楽曲 / Sing a Song?【初見さん歓迎】
RJGHVt8cURk,forフルーツバスケット,3546,3798,6,【歌枠】ボカロ・アニソン練習！特訓！２０２２！ ? Sing a Song?【VTuber】
pUvEwU_OAFc,2130（歌枠）,5093,5362,5,【歌枠 / KARAOKE】お歌の時間ですよ / Sing a Song♬【水城あくあ】
