videoId,title,start,end,rating,article
uvNqgBWckp4,ロリコンで良かった,1134,1343,6,【歌枠】クリスマスパーティーのために歌の練習してからお話！【雑談】
mHSFy9Bbpew,おちゃめ機能,896,1029,6,【歌枠】お夕飯前に少しだけ歌いたい気分！【ボカロ】
q7aRGJ49xwM,可愛くなりたい,2243,2492,6,【歌枠】ボカロもアニソンも歌うんだ～～にょ！? Sing a Song?【VTuber】
fk_Mbs3SjAo,私の一番かわいいところ,4392,4646,6,【歌枠】夏の夜長に歌でも聞いていきませんか！ ? Sing a Song?【水城あくあ】
yDp0VK_FteM,キミ以上ボク未満,2119,2337,6,【歌枠】ボカロ縛り！サラマンダー！うろたんだー！ ? Sing a Song?【VTuber】
QXOLS2N3-DY,男の子の目的は何？,3894,4061,6,【歌枠】アニソンからボカロまで懐かしソング！ ? Sing a Song?【初見さん歓迎】
CxGboxyCV3I,恋愛サーキュレーション,1961,2214,6,【歌枠】バレンタイン深夜の歌枠 ? Sing a Song?【初見さん歓迎】
U6i8zUfb9N0,ビバハピ,928,1157,6,【歌枠】アニソンだったりボカロだったりうたう！ ? Sing a Song?【初見さん歓迎】
2jsPleIb6aA,夢は終わらない,2893,3156,6,【歌枠】歌は心を潤してくれるから皆で歌おう！? Sing a Song?【VTuber】
2jsPleIb6aA,Catch You Catch Me,4583,4802,6,【歌枠】歌は心を潤してくれるから皆で歌おう！? Sing a Song?【VTuber】
7psBymj40qA,おじゃま虫,2720,2945,6,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
pUvEwU_OAFc,ラブレター,3377,3635,6,【歌枠 / KARAOKE】お歌の時間ですよ / Sing a Song♬【水城あくあ】
l1Ci-a6Y_a8,te-yut-te,1570,1656,6,【歌枠】エビバディショウタイム！ ? Sing a Song?【VTuber】
whS3vpgT7vs,ラムのラブソング,2225,2386,6,【歌枠】サクラの季節！こんな恋もしてみたい恋愛ソング多め！
