videoId,title,start,end,rating,article
R5XvoW8Bw50,fancy baby doll,4187,4451,6,【歌枠】疲れた時に聞きたくなる大好きな楽曲 / Sing a Song?【初見さん歓迎】
s3KtXqDRbqk,夜に駆ける,598,863,6,【歌枠】７月のリベンジ！とリクエスト曲歌います ? Sing a Song?【VTuber】
s3KtXqDRbqk,ファンサ,1858,2103,6,【歌枠】７月のリベンジ！とリクエスト曲歌います ? Sing a Song?【VTuber】
YTkFi36y6zI,恋のミクル伝説,1740,1939,6,【歌枠】2000年代前半の懐かしのアニソンメイン！ ? Sing a Song?【VTuber】
Nyn0LAaCdD0,Baby Sweet Berry Love,1181,6746,6,【歌枠】ゆったり歌でも聞いていって下さい！ ? Sing a Song?【初見さん歓迎】
Qdl7WHUT3rw,Orange Sapphire,1923,2194,6,【歌枠】夏一歩手前のゆったり3D歌枠！ ? Sing a Song?【初見さん歓迎】
qU_OJxiqnJI,美少女無罪?パイレーツ,2412,2629,6,【歌枠】ハロウィンだしコスプレしてアニソンボカロ歌う！ ? Sing a Song?【初見さん歓迎】
TBnKug7J4Lo,Tulip,3332,3557,6,【歌枠】ボカロ、アニソン歌うのだー！懐メロ中心！ ? Sing a Song?【初見さん歓迎】
g5-WWR1SUVY,恋スルVOC＠LOIDテイクゼロ,5545,5849,6,【歌枠 / KARAOKE】平成ボーカロイド楽曲を中心に！ / Sing a Song♬【水城あくあ / VTuber】
CxGboxyCV3I,恋愛サーキュレーション,1961,2214,6,【歌枠】バレンタイン深夜の歌枠 ? Sing a Song?【初見さん歓迎】
ioqyvpzw4C0,白金ディスコ,2761,3014,6,【歌枠】懐かしいアニソン中心に歌います ? Sing a Song?【初見さん歓迎】
vsmyo-xtQsY,粉雪,3354,3670,6,【歌枠】月に一度の歌枠のお時間です！ ? Sing a Song?【水城あくあ】
