videoId,title,start,end,rating,article
8se2-Tb8mrI,天音かなたさんの【きゅーぴっど。】歌いながら踊らせていただいた！ #shorts #dance #ホロライブ #hololive  #vtuber #踊ってみた,0:00,0:00,5,水城あくあさんショート
gjx1HOnp2W4,【替え歌】身バレしました #shorts #vtuber #カウントダウン  #3dライブ,0:00,0:00,5,水城あくあさんショート
Ao18E6FwTLg,3Dライブの見どころ教えて！ #shorts #vtuber #カウントダウン  #3dライブ,0:00,0:00,5,水城あくあさんショート
stYcLH9_93E,3Dライブにゲストって誰か来ますか？ #shorts #vtuber #カウントダウン  #3dライブ,0:00,0:00,5,水城あくあさんショート
D60pNTQIyIs,伝説と呼ばれるクソゲーを心底楽しむVTuber #shorts #vtuber #クソゲー #3dライブ,0:00,0:00,5,水城あくあさんショート
97kbNkM3MWo,大人になってから勘違いに気が付いて恥ずかしかったこと #shorts #vtuber #勘違い,0:00,0:00,5,水城あくあさんショート
2w3p9bABJY4,姫森ルーナさんの【守護ってルーナイト】歌いながら踊らせていただいた！ #shorts #dance #ホロライブ #hololive  #vtuber #踊ってみた,0:00,0:00,5,水城あくあさんショート
XTxrJ1sPMYQ,【大人気】ドラゴンボール VSオムニバスCROSS　悟空とベジータフィギュアをお迎えしたい！【一番くじ】 #shorts #vtuber #一番くじ #一番くじドラゴンボール,0:00,0:00,5,水城あくあさんショート
bv57byvCumM,疲れている時にやってしまう行動 #shorts #vtuber #イラスト,0:00,0:00,5,水城あくあさんショート
TTazjXfdy24,はじめてのバズを経験！伝えたいことがあるんだ！ #shorts #dance #3Dライブ #vtuber #告知,0:00,0:00,5,水城あくあさんショート
LqUdQL16Fns,ベジータとエモート【ドラゴンボール】 #shorts #vtuber #ドラゴンボール #ゼノバース2  #初見実況,0:00,0:00,5,水城あくあさんショート
tWt78x1HSxI,宝鐘マリンさんの【A Horny Money World ~伝説の夜~】踊らせていただいた！ #shorts #dance #ホロライブ #hololive  #vtuber #踊ってみた,0:00,0:00,5,水城あくあさんショート
_aoKxYhiyK8,突然すぎる下ネタ #shorts #vtuber  #配信切り抜き,0:00,0:00,5,水城あくあさんショート
UNL3Wek49MU,兼業VTuberの休日（実録） #shorts #vtuber #運動不足,0:00,0:00,5,水城あくあさんショート
GOZM8w3u4G0,推しの部下になれる素晴らしき神ゲー【切り抜き】 #shorts #vtuber #ドラゴンボール #ゼノバース2  #初見実況,0:00,0:00,5,水城あくあさんショート
25POHo5lfRY,【替え歌】コンビニでよくあること【きょういくばんぐみのテーマ】 #shorts #vtuber #替え歌 #あるある,0:00,0:00,5,水城あくあさんショート
WsjZfYcnTaI,逆再生をマネするゲームが面白すぎた【逆再生キング】 #shorts #vtuber #switch  #ゲーム実況  #切り抜き,0:00,0:00,5,水城あくあさんショート
mq1N1EX9DcE,【ポケモン】アクリルチャームのピカチュウを狙って開封！！！【広島限定】 #shorts #ポケモン  #ポケットモンスター  #vtuber,0:00,0:00,5,水城あくあさんショート
LwaIY4RgpRQ,「愛♡スクリ～ム！」で自己紹介【替え歌】 #shorts #AiscReam #愛スクリーム #vtuber,0:00,0:00,5,水城あくあさんショート
RniZk3N8eaw,【一番くじ】ハンターハンターのくじを引いた時の一コマ #shorts #一番くじ #ハンターハンター  #HUNTER×HUNTER,0:00,0:00,5,水城あくあさんショート
aVzba2LlNno,簡単なレアチーズケーキの作り方 #shorts #vtuber #お菓子作り,0:00,0:00,5,水城あくあさんショート
j9d5Txt5oaQ,【替え歌】兼業VTuberは眠らない【明日の私に幸あれ】 #shorts #vtuber #替え歌,0:00,0:00,5,水城あくあさんショート
oujv_MrUxgw,Switch２の発売日ってさ【ハプニング】 #shorts #vtuber #3D #3dライブ,0:00,0:00,5,水城あくあさんショート
rPhgj5KWM_E,【3Dライブ】愛していると言ってもいいね！！！【振り返り】 #shorts #vtuber #3D #3dライブ,0:00,0:00,5,水城あくあさんショート
p9PPHzJPRJY,【大興奮】ベジータと悟空に発狂するだけ【切り抜き】 #shorts #vtuber #ドラゴンボール #ジェイスターズ ビクトリーバーサス #初見実況,0:00,0:00,5,水城あくあさんショート
YIb3JMapXGo,3Dライブ練習風景第二弾！NGシーン #shorts #vtuber #3D #3dライブ,0:00,0:00,5,水城あくあさんショート
p5S3cayhMnA,【切り抜き】最低最悪の乱数【クロノ・トリガー】 #shorts #vtuber #レトロゲーム #ゲーム実況,0:00,0:00,5,水城あくあさんショート
DfubNdBeU-8,【一番くじ】ポケピース ～“PEACE”なおさいほうのひととき～「ピカチュウ狙って」１０回引いてみた！ #shorts #一番くじ #ポケモン #ポケットモンスター,0:00,0:00,5,水城あくあさんショート
irtD8wGhhzU,3Dライブの練習風景を撮っていただけました！ #shorts #vtuber #3D #3dライブ,0:00,0:00,5,水城あくあさんショート
Th4CFputyNU,念願のバトルパートナーズ２０パック開封【ポケカ】 #shorts #ポケカ開封 #ポケカ #ポケモンカード,0:00,0:00,5,水城あくあさんショート
gvpk0m-lxR0,【クロノ・トリガー】連打！連打！連打！連打ァアアア！！！【切り抜き】 #shorts #vtuber #レトロゲーム #ゲーム実況,0:00,0:00,5,水城あくあさんショート
PMPtOY6PRwI,【切り抜き】もしもしカメよ【東京フレンドパーク】 #shorts #vtuber #懐かしい,0:00,0:00,5,水城あくあさんショート
c2MB1VadANI,コラボできないと #shorts #vtuber #コラボ,0:00,0:00,5,水城あくあさんショート
qyvgX0RShCk,【嫉妬全開】ベジータとブルマの名前呼び【切り抜き】 #shorts #vtuber #ドラゴンボール #初見実況,0:00,0:00,5,水城あくあさんショート
GRjGlMAC-Ws,【配信】ポケマス１００連でビート君を迎えたい【切り抜き】 #shorts #vtuber #ポケマス #ポケマスex #ガチャ,0:00,0:00,5,水城あくあさんショート
eZUAKCH5-eM,【一番くじ】ピノの一番くじが出ただと #shorts #vtuber #一番くじ,0:00,0:00,5,水城あくあさんショート
ZOa-It6wMJ0,猫と暮らす活動者の日常 #shorts #vtuber #あるある,0:00,0:00,5,水城あくあさんショート
SKSiKnTvkHs,憧れのグレートサイヤマンになってみた【パロディ】 #shorts #vtuber #ドラゴンボール #dragonball,0:00,0:00,5,水城あくあさんショート
pdj2ul5y51A,【一番くじ】ドラゴンボール EX 孫悟空修業編「カメハウスが欲しい」 #shorts #vtuber #一番くじ #一番くじドラゴンボール,0:00,0:00,5,水城あくあさんショート
PfeH4ddOW9M,バレンタインの日告白するから放課後空けといて #vtuber #アニメーション #イラスト #shorts,0:00,0:00,5,水城あくあさんショート
fJR9gdYgL6M,【音量注意】ベジータのことを諦められない末路【切り抜き】 #shorts #vtuber #ドラゴンボール #初見実況,0:00,0:00,5,水城あくあさんショート
