videoId,title,start,end,rating,article
7psBymj40qA,おじゃま虫,2720,2945,1,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
7psBymj40qA,秘密のトワレ,4282,4561,1,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
7psBymj40qA,負けないで、負けないで…,6478,6761,1,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
g5-WWR1SUVY,Mr.Music,1518,1785,1,【歌枠 / KARAOKE】平成ボーカロイド楽曲を中心に！ / Sing a Song♬【水城あくあ / VTuber】
g5-WWR1SUVY,恋スルVOC＠LOIDテイクゼロ,5545,5849,1,【歌枠 / KARAOKE】平成ボーカロイド楽曲を中心に！ / Sing a Song♬【水城あくあ / VTuber】
pUvEwU_OAFc,ラブレター,3377,3635,1,【歌枠 / KARAOKE】お歌の時間ですよ / Sing a Song♬【水城あくあ】
pUvEwU_OAFc,2130（歌枠）,5093,5362,1,【歌枠 / KARAOKE】お歌の時間ですよ / Sing a Song♬【水城あくあ】
uvNqgBWckp4,三年目の浮気,861,1096,5,【歌枠】クリスマスパーティーのために歌の練習してからお話！【雑談】
uvNqgBWckp4,ロリコンで良かった,1134,1343,6,【歌枠】クリスマスパーティーのために歌の練習してからお話！【雑談】
7psBymj40qA,おじゃま虫,2722,2944,5,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
g5-WWR1SUVY,Mr.Music,1518,1784,5,【歌枠 / KARAOKE】平成ボーカロイド楽曲を中心に！ / Sing a Song♬【水城あくあ / VTuber】
mHSFy9Bbpew,おちゃめ機能,896,1029,5,【歌枠】お夕飯前に少しだけ歌いたい気分！【ボカロ】
7psBymj40qA,秘密のトワレ,4283,4561,5,【歌枠 / KARAOKE】チャンネル登録者数２万人ありがとう！懐うた夏うた！ / Sing a Song♬【水城あくあ / VTuber】
mHSFy9Bbpew,おねがいダーリン,1457,1648,5,【歌枠】お夕飯前に少しだけ歌いたい気分！【ボカロ】
g5-WWR1SUVY,恋スルVOC@LOIDテイクゼロ,5545,5860,5,【歌枠 / KARAOKE】平成ボーカロイド楽曲を中心に！ / Sing a Song♬【水城あくあ / VTuber】
uvNqgBWckp4,ニコニコ組曲,1519,2154,5,【歌枠】クリスマスパーティーのために歌の練習してからお話！【雑談】
6_m2S-EDjuI,はりぼてプラネット（LIVE）,3481,3720,5,【歌枠】４年に１度のうるう年！歌うぞー！ ? Sing a Song?【初見さん歓迎】
by0lhBB6Zpc,気まぐれロマンティック,1882,2122,5,【歌枠】3Dライブ予行練習！ ? Sing a Song?【初見さん歓迎】
by0lhBB6Zpc,だって君には彼氏がいるでしょ,2893,3095,5,【歌枠】3Dライブ予行練習！ ? Sing a Song?【初見さん歓迎】
R5XvoW8Bw50,にゃひにゃひパルティータ,830,1091,5,【歌枠】疲れた時に聞きたくなる大好きな楽曲 / Sing a Song?【初見さん歓迎】
R5XvoW8Bw50,always,2793,3108,6,【歌枠】疲れた時に聞きたくなる大好きな楽曲 / Sing a Song?【初見さん歓迎】
R5XvoW8Bw50,fancy baby doll,4187,4451,5,【歌枠】疲れた時に聞きたくなる大好きな楽曲 / Sing a Song?【初見さん歓迎】
ioqyvpzw4C0,白金ディスコ,2761,3014,6,【歌枠】懐かしいアニソン中心に歌います ? Sing a Song?【初見さん歓迎】
ioqyvpzw4C0,unravel,3838,4201,5,【歌枠】懐かしいアニソン中心に歌います ? Sing a Song?【初見さん歓迎】
q7aRGJ49xwM,可愛くなりたい,2243,2492,5,【歌枠】ボカロもアニソンも歌うんだ～～にょ！? Sing a Song?【VTuber】
fk_Mbs3SjAo,変わらないもの,1989,2027,5,【歌枠】夏の夜長に歌でも聞いていきませんか！ ? Sing a Song?【水城あくあ】
fk_Mbs3SjAo,私の一番かわいいところ,4392,4646,5,【歌枠】夏の夜長に歌でも聞いていきませんか！ ? Sing a Song?【水城あくあ】
894zs5wMm7o,ロマンティックあげるよ,1621,1848,5,【歌枠】平成アニメソング！ドラゴンボール歌いたい！！ ? Sing a Song?【水城あくあ】
894zs5wMm7o,ほえろ！マンモスくん,3901,4093,6,【歌枠】平成アニメソング！ドラゴンボール歌いたい！！ ? Sing a Song?【水城あくあ】
PU_ta_VXo7Q,虎視眈々,2361,2616,5,【歌枠】Hallowe'en前にたくさん歌います！【ボカロ・アニソン】
PU_ta_VXo7Q,ひまわりの約束,2876,3183,5,【歌枠】Hallowe'en前にたくさん歌います！【ボカロ・アニソン】
PU_ta_VXo7Q,ワールドイズマイン（ロリ風味）,3974,4225,5,【歌枠】Hallowe'en前にたくさん歌います！【ボカロ・アニソン】
s3KtXqDRbqk,夜に駆ける,598,863,6,【歌枠】７月のリベンジ！とリクエスト曲歌います ? Sing a Song?【VTuber】
s3KtXqDRbqk,ファンサ,1858,2103,6,【歌枠】７月のリベンジ！とリクエスト曲歌います ? Sing a Song?【VTuber】
s3KtXqDRbqk,部屋とワイシャツと私,3035,3359,6,【歌枠】７月のリベンジ！とリクエスト曲歌います ? Sing a Song?【VTuber】
l1Ci-a6Y_a8,愛言葉,1191,1500,6,【歌枠】エビバディショウタイム！ ? Sing a Song?【VTuber】
l1Ci-a6Y_a8,te-yut-te,1570,1656,6,【歌枠】エビバディショウタイム！ ? Sing a Song?【VTuber】
l1Ci-a6Y_a8,心拍数＃0822,2558,2876,6,【歌枠】エビバディショウタイム！ ? Sing a Song?【VTuber】
RJGHVt8cURk,スキ？キライ！？スキ！！！,2037,2292,6,【歌枠】ボカロ・アニソン練習！特訓！２０２２！ ? Sing a Song?【VTuber】
